epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,216.278,0.38206,0.38359,0.66306,0.80577,0.68149,0.73608,0.5618,0.63193,0.76509,0.77718,0.00109046,0.00109046,0.00109046
122,218.021,0.38603,0.37839,0.6704,0.77553,0.66113,0.71823,0.52823,0.66659,0.76723,0.80522,0.00108764,0.00108764,0.00108764
123,220.012,0.36476,0.37564,0.65389,0.7833,0.62963,0.71927,0.52336,0.68706,0.76533,0.80533,0.00108482,0.00108482,0.00108482
124,222.095,0.38032,0.37397,0.65651,0.75272,0.61957,0.709,0.52021,0.68554,0.83569,0.80233,0.001082,0.001082,0.001082
125,223.983,0.38695,0.39162,0.66751,0.63837,0.72252,0.69622,0.49296,0.6933,0.88384,0.79204,0.00107918,0.00107918,0.00107918
126,225.545,0.37732,0.38961,0.662,0.64912,0.71445,0.6915,0.47805,0.74991,0.90825,0.82143,0.00107635,0.00107635,0.00107635
127,227.567,0.38282,0.37441,0.65792,0.67126,0.7166,0.69263,0.49553,0.73561,0.88015,0.82154,0.00107353,0.00107353,0.00107353
128,229.586,0.3727,0.36872,0.66407,0.62026,0.75978,0.70942,0.54067,0.67422,0.85586,0.77432,0.00107071,0.00107071,0.00107071
129,231.602,0.39206,0.37883,0.67448,0.70965,0.66253,0.68662,0.51472,0.65859,0.85053,0.7781,0.00106789,0.00106789,0.00106789
130,233.471,0.40488,0.37187,0.66666,0.68218,0.72092,0.74386,0.52537,0.73772,0.76562,0.82924,0.00106507,0.00106507,0.00106507
131,234.987,0.38894,0.38739,0.66615,0.69203,0.76832,0.75108,0.5472,0.67726,0.66627,0.80775,0.00106225,0.00106225,0.00106225
132,236.707,0.40514,0.38576,0.68307,0.70316,0.69308,0.71333,0.54148,0.64036,0.71595,0.78651,0.00105943,0.00105943,0.00105943
133,238.69,0.37506,0.38122,0.66386,0.69489,0.67638,0.72644,0.54193,0.64596,0.78856,0.78696,0.00105661,0.00105661,0.00105661
134,240.71,0.37987,0.37328,0.66524,0.72448,0.66984,0.73105,0.53856,0.67677,0.84138,0.81605,0.00105379,0.00105379,0.00105379
135,242.381,0.37129,0.36339,0.66491,0.85709,0.6357,0.76553,0.5585,0.65863,0.79894,0.80884,0.00105096,0.00105096,0.00105096
136,244.12,0.38061,0.37535,0.66364,0.75477,0.70428,0.76356,0.57252,0.6511,0.77715,0.79365,0.00104814,0.00104814,0.00104814
137,246.15,0.38351,0.36701,0.66208,0.76684,0.73598,0.75897,0.56286,0.65474,0.74934,0.78664,0.00104532,0.00104532,0.00104532
